"","Independent","Dependent"
"1",85.2278795217242,94.6016397134135
"2",146.835793648012,131.629204425382
"3",103.649649017736,122.23411183743
"4",104.299142420508,82.739591830032
"5",74.708719871038,58.0241071775316
"6",101.717502001022,109.042608584033
"7",113.271903112611,139.651739443544
"8",101.178299127726,103.70077237087
"9",83.4277627380362,91.4337406200663
"10",102.171782788581,98.9320665055692
"11",129.302234361311,122.743881650123
"12",134.476623013385,137.257429227802
"13",93.3127442216497,95.9390324042285
"14",74.292448432279,43.4868122212606
"15",106.039537602264,109.401773345911
"16",102.714162727622,85.3045484052335
"17",111.325264045146,107.921490564594
"18",105.525465287915,129.544429621572
"19",135.153016788006,146.505432014019
"20",93.4371646073536,82.6978235460565
"21",102.631447893923,124.416014391005
"22",132.03969891187,109.573270404552
"23",131.220305085259,158.933153383669
"24",154.648348519926,173.555076677152
"25",68.8601941758401,59.1675945435913
"26",126.025441987487,158.685973883509
"27",133.817187718222,155.174463381062
"28",116.778498503077,143.725114536559
"29",94.055819143874,88.611791436454
"30",96.294789211629,77.6719392750936
"31",65.4854765883333,61.6012693289255
"32",125.714050768774,120.787213024199
"33",79.1046910075959,91.7637092295059
"34",99.2228689236337,84.083482216626
"35",112.638847953449,109.48093458343
"36",111.655226651831,92.4778733370295
"37",130.782484526077,140.859494799889
"38",89.9709925479387,66.5953143460369
"39",73.2597078377291,84.0898071200047
"40",122.008830867643,117.974799182901
"41",71.3730466232451,32.4063368095489
"42",80.2135672469071,72.9505037302004
"43",130.716815492622,146.345765410375
"44",100.510416008705,81.8690531888968
"45",81.1993951462741,87.9586288427243
"46",88.968631958718,59.0258814879311
"47",145.730694502214,167.876984127948
"48",98.1532452260708,78.1511908184501
"49",112.158822190405,147.235894930088
"50",132.486753400053,154.178086608809
"51",132.259337733132,158.42376079739
"52",102.404311538183,116.776068446465
"53",145.661424992411,156.275350358495
"54",74.2687152659894,95.2398781818233
"55",130.201390931982,103.848712871214
"56",95.8918378102816,98.5800435902276
"57",111.90303122251,113.498924320948
"58",90.7245194009713,92.3281500714641
"59",87.3615716487627,104.55025966238
"60",145.968535085966,147.445380140013
"61",152.869003693276,142.054084867534
"62",124.523054043469,130.52390447474
"63",91.0836453912675,93.5248874481656
"64",160.908856806972,165.233889559707
"65",93.0782758856157,90.0698816069639
"66",90.3263419691251,106.679999762129
"67",152.489290356082,144.430252843112
"68",72.0145477295297,68.2694672759233
"69",101.39602416073,94.115420640802
"70",112.009652244915,105.133449100802
"71",74.5860221260114,50.3147504936044
"72",111.260030521807,117.809040752947
"73",86.1425039597251,80.0052589110905
"74",135.582108958847,188.433650550227
"75",153.199820365796,183.005975069888
"76",146.986997257245,170.2434684233
"77",95.4225438503037,95.6905309737186
"78",164.142977693645,222.468682469562
"79",73.3034568229622,40.081434191402
"80",88.4116485382658,90.8263675650257
"81",60.9621737708344,52.7297745510152
"82",102.394299740633,110.505965121651
